"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/4337/eip4337.html", "HTML", 0, 45, 0, 0, 7, 52
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/4337/stackblitz.js", "JavaScript", 49, 0, 0, 7, 11, 67
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/4337/starknetbook.js", "JavaScript", 16, 0, 0, 2, 4, 22
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/4337/test.js", "JavaScript", 26, 0, 0, 0, 4, 30
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/4337/webpack.config.js", "JavaScript", 27, 0, 0, 0, 1, 28
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/binance.html", "HTML", 0, -74, 0, 0, -8, -82
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/crossnet.html", "HTML", 0, -48, 0, 0, -10, -58
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/eip712.html", "HTML", 0, -93, 0, 0, -8, -101
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/eip712.json", "JSON", 0, 0, -1, 0, 0, -1
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/enkrypt.html", "HTML", 0, -116, 0, 0, -11, -127
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/frontier.html", "HTML", 0, -92, 0, 0, -8, -100
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/gen_permit.js", "JavaScript", -8, 0, 0, 0, -2, -10
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/gen_typedData.js", "JavaScript", -56, 0, 0, -34, -7, -97
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/liquidity.html", "HTML", 0, -64, 0, 0, -8, -72
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/permit.json", "JSON", 0, 0, -1, 0, 0, -1
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/permit2-helper.js", "JavaScript", -16, 0, 0, 0, -4, -20
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/publicMint.json", "JSON", 0, 0, -1, 0, 0, -1
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/rabby.html", "HTML", 0, -54, 0, 0, -12, -66
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/sender.html", "HTML", 0, -77, 0, 0, -10, -87
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/subWallet.html", "HTML", 0, -89, 0, 0, -10, -99
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/testSepolia.html", "HTML", 0, -85, 0, 0, -13, -98
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/test_gen_permit3.js", "JavaScript", -34, 0, 0, -15, -9, -58
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/virus.html", "HTML", 0, -77, 0, 0, -10, -87
"/Users/siahu/Desktop/paper/wallet-NDSS'25/wlts-code/712/zeal.html", "HTML", 0, -70, 0, 0, -8, -78
"Total", "-", 4, -894, -3, -40, -111, -1044
